Longitude,Slope,Intercept
-137,0.755503705,1.583909452
-138,0.755031064,1.58564778
-139,0.755054273,1.587444556
-140,0.755091396,1.589672208
-141,0.754642766,1.591555155
-142,0.754756156,1.592722813
-143,0.756230387,1.593396035
-144,0.757234521,1.59435249
-145,0.760247661,1.595689011
-146,0.762699627,1.597278328
-147,0.766151425,1.597863252
-148,0.769408485,1.597234026
-149,0.771794972,1.597302253
-150,0.773973024,1.596750934
-151,0.775908743,1.596429933
-152,0.777177557,1.596352217
-153,0.777569178,1.596768708
-154,0.77865385,1.596900013
-155,0.779750692,1.596845107
-156,0.780623516,1.596733628
-157,0.779716659,1.596732552
-158,0.77974984,1.597352936
-159,0.779358834,1.598146106
-160,0.779289075,1.598931582
-161,0.779445273,1.600030396
-162,0.779056169,1.600843401
-163,0.779911665,1.601900082
-164,0.780234448,1.602955432
-165,0.780660244,1.603869145
-166,0.779728451,1.604730717
-167,0.779412858,1.606141465
-168,0.778531746,1.607740655
-169,0.778444981,1.609529234
-170,0.778023494,1.611302163
-171,0.778378146,1.612978629
-172,0.778803781,1.614408498
-173,0.777978007,1.61471493
-174,0.776236427,1.61459642
-175,0.77205233,1.614378217
-176,0.766774459,1.612117967
-177,0.76540094,1.612035019
-178,0.762767537,1.611102011
-179,0.758171863,1.608727776
-180,0.753405083,1.605987359
179,0.746754448,1.603044932
178,0.74328972,1.60303194
177,0.742724241,1.604551997
176,0.746530206,1.608987381
175,0.754173009,1.613559582
174,0.754173009,1.613559582
173,0.754439052,1.613164095
172,0.756549786,1.615975658
171,0.76620502,1.621880711
170,0.77174259,1.623803285
169,0.770536535,1.620486795
168,0.767016904,1.614552448
167,0.76579501,1.609560648
166,0.763452031,1.60250118
165,0.764085673,1.598326963
164,0.7650411,1.595415576
163,0.767311471,1.594443378
162,0.769821852,1.594120488
161,0.771528064,1.594093576
160,0.772595654,1.594214797
159,0.773196169,1.594257757
158,0.774507537,1.592917861
157,0.775725262,1.591732432
156,0.7769651,1.59200443
155,0.778003715,1.591986084
154,0.778121966,1.592269148
153,0.777615421,1.592149247
152,0.778252207,1.591824185
151,0.778774427,1.591711086
150,0.780034234,1.591900022
149,0.781039165,1.592443493
148,0.780888868,1.592905829
147,0.780628851,1.592782398
146,0.780724895,1.59197555
145,0.780989973,1.591953669
144,0.782163111,1.592377238
143,0.783672233,1.593097591
142,0.784307814,1.593541964
141,0.784623174,1.593566291
140,0.784162452,1.594217586
139,0.784065797,1.594168688
138,0.785900685,1.594736983
137,0.787651447,1.595747325
136,0.787173219,1.596410056
135,0.786770306,1.597611548
134,0.785201999,1.598277084
133,0.784512476,1.598824761
132,0.784377249,1.59940656
131,0.784035469,1.60012338
130,0.783446934,1.600607774
129,0.783782947,1.601243561
128,0.784086604,1.602267752
127,0.783871289,1.602612194
126,0.7837757,1.60337984
125,0.784370058,1.603739794
124,0.786011388,1.604083738
123,0.78660107,1.604627302
122,0.786997075,1.604856689
121,0.787817624,1.605425798
120,0.787840565,1.606150087
119,0.787690435,1.606477479
118,0.787222454,1.607004159
117,0.787908508,1.608155169
116,0.788777267,1.60821489
115,0.788324862,1.608343271
114,0.787979962,1.608306698
113,0.787524648,1.608121591
112,0.786385447,1.608215171
111,0.785378936,1.607987413
110,0.784740996,1.607683348
109,0.784003154,1.607016373
108,0.782051246,1.605754154
107,0.779948062,1.604132896
106,0.77779169,1.602366635
105,0.777375891,1.601005053
104,0.775400947,1.599489291
103,0.772498901,1.596765098
102,0.770784355,1.593190889
101,0.766800748,1.588719898
100,0.764239098,1.584601204
99,0.76275997,1.582423628
98,0.76057917,1.579681214
97,0.757765672,1.577460064
96,0.755467372,1.575807328
95,0.752454171,1.575223144
94,0.752528721,1.576868695
93,0.752845961,1.577934117
92,0.750041277,1.578249917
91,0.749555767,1.579071458
90,0.749377419,1.581299127
89,0.748187244,1.58137011
88,0.749964061,1.583126676
87,0.752588977,1.584986302
86,0.756062122,1.587019501
85,0.760788108,1.587676034
84,0.764089278,1.58638718
83,0.769110379,1.588578177
82,0.774410801,1.590966971
81,0.779956921,1.592963126
80,0.784995792,1.593461099
79,0.791153384,1.595837887
78,0.794182293,1.59497833
77,0.798210774,1.596469983
76,0.799528822,1.597527769
75,0.794919344,1.59568984
74,0.790103089,1.594484795
73,0.787172577,1.593101837
72,0.788835075,1.594140516
71,0.791656708,1.597159092
70,0.792480712,1.59835404
69,0.798003919,1.602751
68,0.800738281,1.605381132
67,0.797808617,1.603334107
66,0.800273931,1.60720112
65,0.788797855,1.609271695
64,0.78681993,1.608998593
63,0.786209397,1.610217169
62,0.785642328,1.60933212
61,0.783070538,1.607575607
60,0.783906151,1.60727041
59,0.779598188,1.604041408
58,0.779598188,1.604041408
57,0.766603331,1.592286267
56,0.759249822,1.585317877
55,0.768499405,1.58297367
54,0.763874755,1.577318584
53,0.758559385,1.570304909
52,0.752367992,1.564007168
51,0.746702812,1.558718332
50,0.740026134,1.552762407
49,0.738687307,1.549629098
48,0.738030342,1.547790738
47,0.739413518,1.547909989
46,0.739504999,1.546862637
45,0.737079999,1.544847306
44,0.737756285,1.545777973
43,0.73511697,1.546192024
42,0.731933076,1.546807304
41,0.727396386,1.546104579
40,0.725015063,1.547718631
39,0.722728482,1.548358494
38,0.721270633,1.549473807
37,0.720530636,1.551572768
36,0.721945195,1.554827356
35,0.723287144,1.55939872
34,0.722490533,1.562131162
33,0.720676784,1.560856926
